###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57321.562370  19.768  1.463    45   66 o  0   0.71  90.93210 -38.15298  4297.14  6585.73 4.02 3.15 -75.8 -0.475 17.98 18.83 02a57321o0549o
57321.591996  23.653 43.000     1   54 o  0   1.13  90.93210 -38.15298  4887.65  5504.29 4.61 4.04 -28.1 -0.439 17.86 18.95 02a57321o0593o
57321.598191 -20.437  2.722   -24   66 o  0   0.99  90.93210 -38.15298  5731.26  5147.21 4.28 3.51  11.2 -0.488 17.75 18.95 02a57321o0602o
57329.558592 -20.599  2.278   -21   48 o  0   0.80  90.93210 -38.15298  4339.72  6610.66 4.36 3.57 -71.0 -0.499 18.22 19.52 02a57329o0547o
57329.586898 -18.782  0.543  -112   60 o  0   0.99  90.93210 -38.15298  6387.06  4075.55 4.48 4.03  -9.6 -0.465 17.92 19.08 02a57329o0588o
57368.440715 -20.625  1.080   -20   22 o  0   1.02  90.93210 -38.15298  4076.67  6912.13 3.95 3.50 -77.6 -0.445 19.06 20.74 02a57368o0409o
57368.465565 -20.356  1.000   -26   26 o  0   1.08  90.93210 -38.15298  3797.69  6328.67 4.02 3.92 -39.7 -0.414 18.83 20.54 02a57368o0447o
57368.477601 -22.927  9.667    -2   24 o  0   0.76  90.93210 -38.15298  6275.27  2960.95 3.86 3.58  -3.6 -0.446 19.05 20.62 02a57368o0465o
57368.483599 -20.328  0.771   -27   21 o  0   0.99  90.93210 -38.15298  5983.19  4704.48 3.62 3.52 -59.7 -0.441 19.03 20.59 02a57368o0474o
57369.449586  20.506  1.120    23   26 o  0   1.07  90.93210 -38.15298  4073.57  6907.96 4.16 3.65 -76.2 -0.456 18.87 20.52 02a57369o0238o
57369.456161 -22.319  6.800    -4   29 o  0   0.71  90.93210 -38.15298  3799.97  6327.26 3.86 3.49 -70.9 -0.470 18.94 20.53 02a57369o0248o
57369.468968  23.312 12.000     2   21 o  0   1.39  90.93210 -38.15298  6270.69  2958.86 3.97 3.61  -4.2 -0.464 19.03 20.61 02a57369o0268o
57369.493529  20.532  0.931    22   21 o  0   0.94  90.93210 -38.15298  5983.34  4704.28 3.58 3.45 -63.8 -0.475 19.06 20.66 02a57369o0304o
57370.443592  20.756  1.150    18   21 c  0   0.88  90.93210 -38.15298  4073.42  6909.41 4.31 3.87 -72.7 -0.406 19.39 21.46 02a57370o0414c
57370.450200 -20.369  0.714   -26   18 c  0   0.99  90.93210 -38.15298  3801.07  6328.97 4.35 3.94 -69.2 -0.401 19.37 21.44 02a57370o0424c
57370.462928 -19.912  0.452   -39   18 c  0   1.04  90.93210 -38.15298  6266.92  2958.49 4.45 3.98  -6.5 -0.398 19.42 21.44 02a57370o0444c
57380.415005 -19.788  1.453   -44   64 o  0   1.64  90.93210 -38.15298  4040.08  6920.72 3.95 3.39 -75.6 -0.492 18.06 18.82 02a57380o0312o
57380.428763   0.000 19.388     0   64 o  0   1.21  90.93210 -38.15298  6936.28  4357.28 3.88 3.42  -3.3 -0.496 17.98 18.72 02a57380o0332o
57380.441249 -19.156  0.850   -79   67 o  0   0.76  90.93210 -38.15298  6095.39  3199.23 4.26 3.95 -12.9 -0.427 18.00 18.83 02a57380o0351o
57380.466018 -19.801  1.325   -44   58 o  0   1.19  90.93210 -38.15298  5801.64  4941.78 4.53 4.31 -55.5 -0.381 17.93 18.78 02a57380o0388o
57397.364427  20.666  0.848    20   17 c  0   0.99  90.93210 -38.15298  3670.07  6137.18 4.09 3.77 -67.4 -0.406 19.45 21.46 02a57397o0263c
57397.381913  20.454  0.696    24   17 c  0   1.01  90.93210 -38.15298  4481.16  7282.60 3.99 3.81 -83.9 -0.410 19.49 21.56 02a57397o0284c
57397.399190 -21.012  1.027   -14   15 c  0   0.80  90.93210 -38.15298  5753.97  4882.61 3.76 3.67 -69.3 -0.408 19.54 21.59 02a57397o0304c
57404.376916 -20.887  1.400   -16   22 o  0   1.86  90.93210 -38.15298  6660.37  3770.09 3.53 3.48  14.4 -0.483 18.77 20.05 02a57404o0312o
