sdss_id,gaia_dr3,existing_classification,reference
100536766,5666458346271348992,DAQ,MWDD
61206487,1422012892308493568,DQA,MWDD
79037946,3663639779599974784,DQA,MWDD
104771614,5935933154350863872,DAQ,arXiv:2602.02670
79068566,3668901977825959040,DQA,MWDD
92222643,4720049658213446400,DAQ,MWDD
71959237,2849930668862492544,DQA,MWDD; Coutu et al. 2019
115261597,117261167051122688,DAQ,MWDD
80706251,3982534641696914688,DQA,MWDD
102600838,5836110898905253760,carbon and hydrogen (this repository),carbon_white_dwarfs.csv
57623143,883885440381808000,none,carbon_white_dwarfs.csv
70017474,2480243386083359360,DQA,MWDD; DESI DR1
93091478,4847399905305694080,none,carbon_white_dwarfs.csv
92889431,4814772069550031104,DAQ,MWDD
89905789,4519466580903738880,DQA,MWDD
95489940,5243591401210032000,DQ,SIMBAD
92233548,4721812110929376768,DQA,MWDD
67111869,2076678981825545088,none,carbon_white_dwarfs.csv
95077848,5208047381438507520,hot DQ candidate (this repository),carbon_white_dwarfs.csv
110610085,6467865296283423488,DQA,MWDD
88616076,4377432592229753472,"none (MWDD DC:); possible C I, one visit S/N 5",
110600288,6466745168812781568,hot DQ candidate (this repository),carbon_white_dwarfs.csv
89993944,4528933302988697344,warm DQ / DQA (VizieR catalogue types; MWDD DB),VizieR
110741581,6482049958353650048,"none; possible C I (two visits, S/N 3-4)",
114554634,6886051830805052288,hot DQ candidate (this repository),carbon_white_dwarfs.csv
71622851,2789929322901923200,DAQ,MWDD
82182126,4056072732496968832,DQ:,MWDD
