sdss_id,gaia_dr3,name,role,ra,dec,G,M_G,snowwhite_class,snr,lit_teff_kK,lit_logg,lit_reference
73346836,2995107164834343680,GALEX J055029.7-155446,target,87.62395,-15.91322,17.388,6.84,DA,25.4,,,
99327334,5570041179495992704,GALEX J062928.9-415857,target,97.37076,-41.98266,17.251,6.61,DA,32.4,,,
74510696,3090786872841030016,SDSS J081413.43+022524.7,target,123.556,2.423504,17.108,6.01,DA,45.6,,,
80998734,4036084504408126976,Gaia DR3 4036084504408126976,target,270.7509,-39.03666,17.142,6.82,DA,22.2,,,
109787602,6365804611201098368,GALEX J190659.9-755815,target,286.75,-75.97095,17.801,6.79,DA/DAO,12.4,,,
100568930,5671975077144346112,WDJ095852.35-175833.41,target,149.7181,-17.97594,17.167,6.71,DA,36.3,,,
92431667,4755520010701141504,PN Lo 1,control,44.2436,-44.17156,15.148,5.61,DA,54.5,118.0,7.0,"Filiz et al. 2024, A&A 691, A290"
59874679,1225176323543428736,PG 1416+110,control,214.6763,10.81898,16.502,5.62,DA,25.5,110.2,6.77,"Bedard et al. 2020, ApJ 901, 93"
55886486,597324024095840512,PN A66 31,control,133.5548,8.898003,15.475,6.8,DA,29.9,106.0,7.2,"Filiz et al. 2024, A&A 691, A290"
62112031,1584181713419346560,FBS 1215+628,control,184.4297,62.52172,16.46,6.39,DA:,19.2,84.0,6.95,"Bedard et al. 2020, ApJ 901, 93"
75503736,3165739820296546176,GALEX J074320.3+160752,control,115.8347,16.13133,17.161,6.71,DA/DAO,85.1,83.2,7.15,"Bedard et al. 2020, ApJ 901, 93"
62051762,1573011744729727104,PG 1204+543,control,181.8684,54.02471,15.934,5.64,DA/DAO,31.1,84.9,6.54,"Reindl et al. 2023, A&A 677, A29"
58697654,1027028630113289600,PG 0834+501,control,129.4056,49.87434,15.256,6.7,DA,37.7,90.0,7.0,"Filiz et al. 2024, A&A 691, A290"
79946016,3833693825659533056,GALEX J095019.7-010423,control,147.5822,-1.073198,16.997,6.76,DA/DAO,10.2,91.3,7.16,"Bedard et al. 2020, ApJ 901, 93"
62153804,1592322123850695168,PG 1454+494,control,224.028,49.18792,17.005,6.31,DA:,14.9,75.3,6.74,"Bedard et al. 2020, ApJ 901, 93"
102043792,5803795977174249344,SALT J174009.9-721444,control,265.0414,-72.24585,16.112,6.1,DC:,37.1,140.0,6.7,"Jeffery et al. 2023, MNRAS 519, 2321"
102152010,5811791728816787584,SALT J172335.2-672530,control,260.8967,-67.42526,16.279,6.57,DA/DAO,42.1,130.0,6.5,"Jeffery et al. 2023, MNRAS 519, 2321"
86483251,4224989806164395392,GALEX J204448.7-025613,control,311.2031,-2.937149,17.346,6.63,DC/DA,19.1,92.5,7.01,MWDD (snapshot 2026-08-05)
