gaia_dr3,mwdd_spectype,mwdd_teff
3668901977825959040,DQA,17582.0
1422782516088307840,DQH,18873.0
2533306985471073920,DQH?,30487.0
1064480774998488960,DQ,15427.0
1087466684052602624,DQA,18958.0
108837907254684672,DQA,16595.0
1419993776643206656,DQH?,17393.0
1826576885785685632,DQ:,18642.0
1841750421125652864,DQA,16052.0
2206846108987648896,DQ:,16817.0
2261194388927458560,DQA,16424.0
2396977477886031616,DQA,16192.0
2558785899701739392,DQA,15456.0
2613599200047182848,DQ,18230.0
2691157135362946560,DQ,24289.0
2963904601089177344,DQ,19529.0
3185905383239883520,DQA,15938.0
3433634763253095552,DQ:,19417.0
3729444416650571648,DQA,15189.0
3789844954051531904,DQ,30081.0
403724902897548160,DQA,17727.0
417878327668855680,DQ:,19049.0
4348642017695591552,DQA,15831.0
4500493575744164608,DQ,16109.0
4519466580903738880,DQA,16235.0
4555815228415414784,DQ,19010.0
4557629495620225792,DQH,19317.0
4806168665940960128,DQA,15164.0
484669845125034880,DQ:,19044.0
490384797328840960,DQ:,18816.0
5329953843389830656,DQ:,17810.0
5751567521288585984,DQ:,19791.0
5764272927902895232,DQA,15191.0
5926331084887689600,DQ,15798.0
6266384124121583872,DQ:,18119.0
635307507975401472,DQ,23389.0
6654039930861530368,DQA,15672.0
6848800411215441152,DQ:,19519.0
897546047723006720,DQH,28248.0
978257588544163200,DQ,23709.0
2652157079967798912,DQA,24274.0
2620067523873892352,DQH,23918.0
2434756658761596800,DQ,21550.0
2428675569186550784,DQhot2.4,20882.0
720773715033571712,DQ,34544.0
3985258509955943808,DQ,27899.0
4000994892171172480,DQ,100000.0
1475194238223608064,DQA,16744.0
1495933948100983296,DQ,19072.0
1605233036060102144,DQA,15167.0
1286229592893341184,DQ?,16858.0
1374533368881401728,DQA,17301.0
4413154350626623744,DQhot,22300.0
1386591502449103744,DQ,20940.0
1318204460477280512,DQA,16633.0
1765682152266062976,DQA,15166.0
2783312393206736896,DQ,23430.0
5177434332020997120,DQ,21110.0
3430880864584148224,DQ:,18727.0
894726766765840768,DQA,21000.0
1059498612934930176,DQH,15854.0
3796148080551926016,DQA,24111.0
1662221475346089984,DQAPhot2.7,18755.0
3662617577383056000,DQ,21670.0
1159147901516125440,DQA,16119.0
4575456045141217536,DQA,18275.0
4056072732496968832,DQ:,15151.0
1611753479314421888,DQB,19830.0
