gaia_dr3,name,ra_deg,dec_deg,pmra,pmdec,parallax_mas,e_parallax_mas,G,bp_rp,g_sdss_syn,r_sdss_syn,i_sdss_syn,gaia_gls_freq_cd,gaia_gls_fap,ground
2883364038621038208,GALEX J060343.7-380911,90.93209104712824,-38.153109642531845,5.08,99.722,9.892,0.102,18.209,0.329,18.3036,18.2662,18.2759,2.221807125339,1.432208780027722e-13,ATLAS
178685757799822080,GALEX J043613.3+383720,69.05591171736573,38.62251977130393,35.986,-22.793,9.608,0.141,18.14,0.285,18.2407,18.1724,18.2431,0.136825143207,6.9720236928542e-13,ZTF
6456720612064924928,GALEX J211204.8-571801,318.02015898560353,-57.30044607022286,-43.273,-23.4,11.355,0.112,17.929,0.316,18.0454,17.996,18.0505,23.477948266264,3.109639971936287e-14,ATLAS
2888030331609338240,GALEX J054140.8-362248,85.4202040424429,-36.380056325010315,-23.033,1.219,7.98,0.074,17.712,0.179,17.7454,17.7953,17.8894,1.467693965155,1.7980250300431643e-06,ATLAS
3496637913394359680,GALEX J124819.8-261413,192.0824321632568,-26.237170414005792,-46.182,-23.684,10.485,0.158,18.046,0.411,18.1907,18.1043,18.1109,0.16986160287,4.707006989454906e-12,ATLAS
437628614520520320,WDJ025503.24+475833.96,43.76358322937507,47.97594157753235,11.136,-35.935,10.379,0.146,18.007,0.348,18.1213,18.0542,18.0808,0.198453212098,1.766749766712837e-10,ZTF
6639666736903611136,GALEX J191430.4-572023,288.6268407978663,-57.33958345574055,-9.503,79.882,19.504,0.051,16.453,0.35,16.5671,16.5073,16.5352,0.269382305174,0.0004014204764052,ATLAS
3890059941364406144,SDSS J102251.62+161151.6,155.7148994098113,16.197716868501697,-70.471,11.32,1.864,0.153,17.805,-0.275,17.6285,17.9987,18.2741,16.488740034815,7.284138807238352e-13,ZTF
974895286283420160,WDJ072009.19+464840.48,110.03813862706951,46.81152479217421,-24.765,63.033,19.781,0.047,15.601,0.157,15.6153,15.6908,15.8047,1.253686688339,0.0069560016306313,ZTF
2795150147707769728,GALEX J003750.4+190136,9.460283171440098,19.026664333122532,14.995,-2.856,5.026,0.143,17.992,-0.366,17.7953,18.232,18.5445,1.31570182719,8.870447845086411e-13,ZTF
6170660401283991680,Gaia DR3 6170660401283991680,210.0945846186187,-33.04534982700494,-19.339,-5.972,1.309,0.08,16.908,-0.528,16.6461,17.1997,17.588,0.888732012603,0.0002257487692984,ATLAS
6136817910121524096,GALEX J132200.5-422412,200.5022149236005,-42.40353289228813,-10.309,-0.585,0.809,0.141,18.083,-0.355,,,,1.300373834244,4.534594146413749e-05,ATLAS
3123625093275668736,Gaia DR3 3123625093275668736,94.5675343901372,1.2533286771954382,-23.741,-13.931,2.847,0.088,17.164,0.051,17.0588,17.4355,17.4681,2.309311065356,0.0229301602274249,ZTF
3354819845628139904,Gaia DR3 3354819845628139904,104.98673235375516,15.793188452630911,4.679,-5.353,1.033,0.15,17.801,-0.436,,,,1.906256653186,0.0020572673351386,ZTF
