gaia_dr3,sdss_id,spectrum
5660016586818424832,100495249,coadd
6499095244738784128,110869723,coadd
1980205739970324224,65378167,coadd
4307667617377160704,87874490,coadd
5680077137810906624,100619073,coadd
4198738558061020928,86161874,60087
5807585134758743040,102093483,60091
2883030508640778752,72166485,coadd
6412133010376770560,110113191,coadd
6430762242043644032,110269652,coadd
5848754492268362624,102767123,coadd
428300220431345536,54469146,coadd
4241409569220727424,86656865,59840
50526755482496000,114981621,60585
1199447137276626048,59714707,coadd
4236646794083461120,86602351,coadd
2833867392391927936,71868584,60582
3115382600062991872,74858700,coadd
2069622487994113408,66973839,coadd
657989024107287168,56258874,coadd
4680104332056706304,91813325,coadd
4800536829945050752,92784135,coadd
4187365308538865792,86043551,coadd
375892788968158848,117133411,coadd
4833309388918586624,93009757,coadd
6465559379883395328,110590871,coadd
5665371272869153152,100530586,coadd
3327361677328480256,76484599,59268
