gaia_dr3,sdss_id,sample,G,bp_rp,M_G,snowwhite_class,n_visits,snr_max,C_contrast,C_v_kms,CI_contrast,CI_v_kms,CII_contrast,CII_v_kms,HeI_contrast,C_contrast_per_visit,existing_classification,reference
5666458346271348992,100536766,DA-type massive,19.125,-0.301,12.61,DA:,1,7.5,39.69,140,12.82,130,5.45,210,-0.19,39.7,DAQ,MWDD
1422012892308493568,61206487,DA-type massive,16.142,-0.193,12.78,DA:,3,29.2,25.48,130,21.14,130,12.04,150,0.83,12.1/23.5/13.6,DQA,MWDD
3663639779599974784,79037946,DA-type massive,19.385,-0.18,12.4,DA,2,8.6,20.95,100,14.03,120,1.96,-100,0.04,28.7/13.7,DQA,MWDD
1558730836735094528,61975553,non-DA,19.187,0.013,12.88,DC,6,15.4,20.82,180,25.17,160,3.43,340,2.03,25.0/15.1/10.3/32.3/8.1/13.1,DQ,MWDD
5935933154350863872,104771614,DA-type massive,15.679,-0.316,12.64,DA,1,28.5,20.22,320,19.89,350,8.58,280,-1.32,20.2,DAQ,arXiv:2602.02670
3668901977825959040,79068566,DA-type massive,19.371,-0.244,12.35,DA:,7,10.9,18.97,160,17.38,170,26.22,150,0.88,11.2/8.6/16.8/7.1/13.6/11.1/30.4,DQA,MWDD
1287258636998635008,60245681,non-DA,19.123,-0.051,13.08,DC:,2,14.7,17.8,120,19.84,120,1.98,300,-0.32,18.8/4.1,DQA,MWDD
4720049658213446400,92222643,DA-type massive,17.968,-0.135,12.4,DA,2,14.5,17.03,150,14.14,170,7.21,70,0.14,14.2/11.0,DAQ,MWDD
2849930668862492544,71959237,DA-type massive,19.907,-0.03,12.98,DA,4,7.1,16.78,90,13.14,90,3.33,180,0.54,5.5/3.4/6.6/18.3,DQA,MWDD; Coutu et al. 2019
117261167051122688,115261597,DA-type massive,18.389,-0.292,12.86,DA/DAH,2,10.0,16.11,40,16.97,40,5.02,200,0.75,9.7/15.5,DAQ,MWDD
3982534641696914688,80706251,DA-type massive,19.382,-0.147,12.94,DA:,1,7.6,16.1,180,35.78,180,2.66,290,1.31,16.1,DQA,MWDD
5836110898905253760,102600838,DA-type massive,17.441,0.559,13.03,DA:,4,14.1,15.75,160,26.97,150,2.56,250,0.43,22.3/16.6/7.7/9.5,carbon and hydrogen (this repository),carbon_white_dwarfs.csv
883885440381808000,57623143,DA-type massive,18.654,-0.197,11.92,DA,1,10.4,14.96,110,11.56,140,9.52,60,1.75,15.0,none,carbon_white_dwarfs.csv
343958710690034944,116892932,non-DA,18.645,-0.027,13.15,DC:,2,7.2,14.78,110,11.76,130,4.07,-40,0.81,7.3/7.7,none (SIMBAD and MWDD DB),carbon_white_dwarfs.csv
2480243386083359360,70017474,DA-type massive,18.165,-0.003,12.97,DA:,2,16.7,13.17,170,15.7,170,5.52,290,0.72,12.1/12.0,DQA,MWDD; DESI DR1
6589369272547881856,111443015,non-DA,15.97,-0.087,12.97,DC,1,22.7,12.59,180,13.24,180,2.31,400,0.72,12.6,DQ,MWDD
2087569060381096960,67251506,non-DA,17.343,-0.115,13.0,DC,2,16.5,12.26,50,12.97,50,3.49,70,0.59,12.1/16.5,DQ,MWDD
4847399905305694080,93091478,DA-type massive,19.7,-0.095,12.65,DA:,1,6.1,12.19,160,20.45,150,2.29,350,0.12,12.2,none,carbon_white_dwarfs.csv
4814772069550031104,92889431,DA-type massive,18.62,-0.232,12.69,DA,1,12.3,11.68,230,15.74,230,8.5,230,0.67,11.7,DAQ,MWDD
4519466580903738880,89905789,DA-type massive,18.195,-0.199,12.92,DA:,2,10.4,10.92,90,15.37,120,1.1,10,2.77,17.5/6.4,DQA,MWDD
5243591401210032000,95489940,DA-type massive,17.676,-0.077,13.01,DA/hotDQ,1,10.1,10.75,190,10.68,180,4.16,400,0.25,10.8,DQ,SIMBAD
4721812110929376768,92233548,DA-type massive,18.013,-0.158,12.94,DA:,4,11.5,10.63,180,8.86,180,1.96,400,1.12,8.3/23.5/12.2/16.3,DQA,MWDD
2076678981825545088,67111869,DA-type massive,18.698,-0.18,12.91,DA,2,7.0,9.59,120,17.91,120,-0.45,400,0.57,5.7/8.7,none,carbon_white_dwarfs.csv
5208047381438507520,95077848,DA-type massive,16.564,-0.408,11.64,DA:,1,16.7,9.49,130,5.2,160,22.39,90,-0.32,9.5,hot DQ candidate (this repository),carbon_white_dwarfs.csv
6467865296283423488,110610085,DA-type massive,18.564,-0.281,12.68,DA:,2,7.1,9.35,190,21.35,210,0.93,150,-0.04,8.3/2.6,DQA,MWDD
3845201035182583424,80012172,non-DA,19.04,-0.063,13.02,DC:,1,12.9,8.5,140,58.94,150,-0.02,400,0.99,8.5,DQ,MWDD
4377432592229753472,88616076,DA-type massive,19.48,-0.019,13.16,DA:,1,5.1,8.38,140,11.57,130,0.26,180,0.2,8.4,"none (MWDD DC:); possible C I, one visit S/N 5",
6466745168812781568,110600288,DA-type massive,19.438,-0.332,11.31,DA/DC,2,6.1,8.03,140,2.8,70,11.39,130,-0.74,6.0/7.7,hot DQ candidate (this repository),carbon_white_dwarfs.csv
4528933302988697344,89993944,DA-type massive,19.164,-0.175,12.89,DA:,2,5.7,7.01,120,10.19,130,2.3,50,-0.42,8.1/7.7,warm DQ / DQA (VizieR catalogue types; MWDD DB),VizieR
6482049958353650048,110741581,DA-type massive,19.883,0.16,12.98,DA:,2,4.2,6.84,170,8.72,250,3.51,-200,1.63,4.6/6.0,"none; possible C I (two visits, S/N 3-4)",
6886051830805052288,114554634,DA-type massive,17.548,-0.395,11.19,DC/DA,2,12.9,6.68,30,14.53,60,6.49,-10,-1.05,8.6/7.2,hot DQ candidate (this repository),carbon_white_dwarfs.csv
6465542891501713408,110590717,non-DA,18.644,0.103,13.17,DC:,2,12.3,4.84,130,19.01,130,-0.32,400,0.93,5.3/5.5,none (SIMBAD and MWDD DC:),carbon_white_dwarfs.csv
2789929322901923200,71622851,DA-type massive,19.899,-0.018,12.64,DA,4,5.5,3.19,150,4.13,200,1.93,0,2.64,0.7/0.4/1.5/4.1,DAQ,MWDD
4056072732496968832,82182126,DA-type massive,15.852,-0.141,12.61,DA,2,25.9,1.72,110,1.86,110,0.39,140,0.92,2.8/1.5,DQ:,MWDD
