sdss_id,gaia_dr3,name,category,reference,snowwhite_class,group,plx_ok,G,bp_rp,M_G,snr_cat,z_cat,template,v_kms,noise_scale,z_lines,z_abs,z_fake,ew_A,z_visits,visit_mjds
55774610,578709631539357440,WD 0856+048,no existing emission classification,this repository,DA,H,True,18.34,-0.202,11.25,29.3,46.99,dp250,-60,1.0,25.4/31.9/23.3,-12.96,15.78,17.23,10.2/22.4/16.8/12.6/8.9/14.5/21.4,59292/59304/59305/59306/59883/59904/60270
63867520,1827014701883095680,WD J1959+2208,no existing emission classification,this repository,DBA/DB,nonH,True,16.78,0.087,10.57,38.2,70.34,dp350,60,1.0,36.4/48.3/37.0,-16.26,16.06,21.64,40.6/57.9,60532/60533
70254122,2527617665632689024,GALEX J0039-0356,no existing emission classification,this repository,DA,H,True,18.91,-0.116,10.93,12.9,43.09,n150,-40,1.11,24.6/30.7/17.7,-1.28,3.99,29.94,32.3/17.0/14.4/27.5,59905/60225/60285/60530
63203321,1764314497240770176,SDSS J2054+1610,no existing emission classification,this repository,DA,H,True,18.41,-0.43,10.03,5.3,15.15,n150,0,1.0,8.4/11.1/6.2,1.64,5.82,22.22,11.3/10.2,60467/60468
58756188,1037258898615762048,WD 0842+572,known gaseous disc,Saker et al. 2025 (RMxAA 61 154) compilation,DA,H,True,16.79,-0.162,11.18,20.7,81.89,n150,-20,1.0,40.8/55.5/46.1,3.38,3.57,36.51,,59957
56367604,671450448046315520,SDSS J0738+1835,known gaseous disc,Saker et al. 2025 (RMxAA 61 154) compilation,DBZ:,nonH,True,17.7,-0.18,11.52,43.5,28.12,dp350,40,1.1,18.6/16.0/14.0,14.81,3.49,5.67,5.3/3.9/15.5/9.8/7.8/2.5/18.1/4.4/9.9,59186/59208/59209/59210/59211/59212/59302/60590/60591
111809939,6646693887514073984,WD J1930-5028,known gaseous disc,Saker et al. 2025 (RMxAA 61 154) compilation,DA,H,True,16.99,-0.072,11.57,16.3,15.91,dp500,20,1.0,11.5/9.2/7.9,-2.44,3.91,10.43,,60169
92944351,4823042355496728832,WD J0529-3401,known gaseous disc,Saker et al. 2025 (RMxAA 61 154) compilation,DA,H,True,17.5,-0.214,10.65,21.7,11.58,n150,80,1.0,9.0/8.6/1.9,1.5,5.46,2.61,,60642
70061066,2489275328645218560,SDSS J0234-0406,known gaseous disc,Saker et al. 2025 (RMxAA 61 154) compilation,DA,H,True,16.42,-0.073,11.62,22.9,2.37,n60,400,1.0,2.7/-0.2/1.9,10.78,3.25,-1.6,,60664
62326276,1623866184737702912,WD 1622+587,known gaseous disc,Saker et al. 2025 (RMxAA 61 154) compilation,DB,nonH,True,16.85,-0.233,10.53,4.7,2.04,n60,-60,1.06,2.2/1.2/-0.1,3.53,3.19,1.06,,59984
67586017,2118281993556276096,WD J1829+4537,known gaseous disc,Ma et al. 2025 (AJ 170 345),DA,H,True,18.24,-0.395,9.59,9.7,56.31,n150,-60,1.11,33.2/41.6/18.9,1.72,12.48,53.24,36.4/25.6/45.0,60471/60472/60473
70865248,2651256614304360576,WD J2307-0002,known Ca II emission,Swan et al. 2026 (arXiv:2609.04314) Ca II emission figure,DBA/DB,nonH,True,19.21,-0.209,11.65,11.1,26.39,dp350,-20,1.0,15.2/20.9/6.3,-3.82,2.75,24.1,25.1/8.5,59847/60612
56110477,635879254021761024,WD J0914+1914,known gaseous disc without Ca II emission (H O S),Gansicke et al. 2019 (Nature 576 61),DA,H,True,18.98,-0.266,10.83,7.4,3.87,n60,-400,1.0,2.7/2.4/1.6,5.27,7.8,-1.11,,60653
57605357,882205352253258624,WD J0753+3335,DESI EDR emission candidate,Ma et al. 2025 (AJ 170 345) table,DA,H,True,18.44,0.505,13.05,15.2,3.3,dp500,180,2.03,2.1/5.4/-2.0,6.39,4.82,-5.98,,60697
56311832,665392383790872192,WD J0842+2300,DESI EDR emission candidate,Ma et al. 2025 (AJ 170 345) table,DA,H,True,14.42,-0.367,9.98,52.6,0.75,n60,-120,1.0,-0.9/0.2/2.2,4.27,3.63,-0.47,0.9/0.1,60003/60011
55888424,597646245427109376,WD J0849+0923,DESI EDR emission candidate,Ma et al. 2025 (AJ 170 345) table,DA,H,True,17.64,0.307,12.69,13.0,2.24,dp250,-220,1.0,0.9/1.9/1.1,0.75,3.02,1.33,,59972
80004278,3843734359685754880,WD J0912+0139,DESI EDR emission candidate,Ma et al. 2025 (AJ 170 345) table,DA,H,True,16.94,-0.181,11.33,59.2,2.52,dp500,-180,1.0,3.1/-0.6/2.3,5.59,5.0,0.19,-0.8/2.8/1.6,59255/59256/59691
58950701,1074013923063975680,WD J1100+7138,DESI EDR emission candidate,Ma et al. 2025 (AJ 170 345) table,DA,H,True,14.7,-0.483,9.2,34.3,0.63,n60,260,1.0,-0.1/1.2/-0.0,3.68,2.03,-0.91,,59973
59891623,1228266814506156928,WD J1434+1508,DESI EDR emission candidate,Ma et al. 2025 (AJ 170 345) table,DA,H,True,16.01,-0.099,11.52,20.4,3.18,n60,-400,1.0,2.6/1.8/0.8,2.13,3.32,0.3,,60064
69202808,2294545291016560256,WD J1802+8039,DESI EDR emission candidate,Ma et al. 2025 (AJ 170 345) table,DA,H,True,15.11,-0.352,10.48,20.7,1.87,dp350,400,1.0,1.3/0.6/1.4,1.0,2.98,1.45,,60040
