gaia_dr3,sdss_id,name,role,line_set,teff_kK,teff_min_kK,teff_max_kK,logg,logg_min,logg_max,he_mass_fraction,he_min,he_max,v_kms,chi2_r,lit_teff_kK,fit_over_lit
2995107164834343680,73346836,GALEX J055029.7-155446,target,H+He,60.0,60.0,70.0,7.0,7.0,7.0,0.1,0.1,0.1,30.0,0.69,,
2995107164834343680,73346836,GALEX J055029.7-155446,target,He only,110.0,100.0,120.0,6.5,6.5,6.5,0.3,0.3,0.5,20.0,0.56,,
5570041179495992704,99327334,GALEX J062928.9-415857,target,H+He,60.0,60.0,60.0,6.5,6.5,6.5,0.0,0.0,0.0,10.0,0.8,,
5570041179495992704,99327334,GALEX J062928.9-415857,target,He only,100.0,100.0,100.0,7.0,6.5,7.5,0.1,0.1,0.1,-20.0,0.5,,
3090786872841030016,74510696,SDSS J081413.43+022524.7,target,H+He,60.0,60.0,60.0,6.5,6.5,6.5,0.1,0.1,0.1,-30.0,1.21,,
3090786872841030016,74510696,SDSS J081413.43+022524.7,target,He only,90.0,90.0,90.0,6.5,6.5,7.0,0.1,0.1,0.1,-60.0,0.76,,
4036084504408126976,80998734,Gaia DR3 4036084504408126976,target,H+He,60.0,60.0,60.0,6.5,6.5,6.5,0.1,0.1,0.1,10.0,0.9,,
4036084504408126976,80998734,Gaia DR3 4036084504408126976,target,He only,90.0,90.0,90.0,6.5,6.5,7.0,0.1,0.1,0.1,40.0,0.73,,
6365804611201098368,109787602,GALEX J190659.9-755815,target,H+He,60.0,60.0,60.0,7.0,7.0,7.0,0.1,0.1,0.1,60.0,0.75,,
6365804611201098368,109787602,GALEX J190659.9-755815,target,He only,200.0,120.0,200.0,6.5,6.5,6.5,0.7,0.5,1.0,40.0,0.78,,
5671975077144346112,100568930,WDJ095852.35-175833.41,target,H+He,60.0,60.0,60.0,6.5,6.5,6.5,0.0,0.0,0.0,40.0,1.23,,
5671975077144346112,100568930,WDJ095852.35-175833.41,target,He only,120.0,120.0,120.0,7.5,7.0,8.0,0.1,0.1,0.1,-150.0,0.55,,
4755520010701141504,92431667,PN Lo 1,control,H+He,60.0,60.0,60.0,7.0,7.0,7.0,0.1,0.1,0.1,110.0,0.74,118.0,0.51
4755520010701141504,92431667,PN Lo 1,control,He only,120.0,120.0,120.0,6.5,6.5,6.5,0.5,0.5,0.5,90.0,0.35,118.0,1.02
1225176323543428736,59874679,PG 1416+110,control,H+He,100.0,100.0,100.0,6.5,6.5,6.5,0.1,0.1,0.1,20.0,0.62,110.2,0.91
1225176323543428736,59874679,PG 1416+110,control,He only,150.0,150.0,200.0,6.5,6.5,7.0,0.3,0.3,0.5,-10.0,0.37,110.2,1.36
597324024095840512,55886486,PN A66 31,control,H+He,70.0,70.0,70.0,7.5,7.5,7.5,0.1,0.1,0.1,150.0,0.71,106.0,0.66
597324024095840512,55886486,PN A66 31,control,He only,150.0,120.0,170.0,7.0,6.5,7.0,0.7,0.3,0.9,120.0,0.37,106.0,1.42
1584181713419346560,62112031,FBS 1215+628,control,H+He,70.0,70.0,70.0,7.0,7.0,7.0,0.1,0.1,0.1,-70.0,0.64,84.0,0.83
1584181713419346560,62112031,FBS 1215+628,control,He only,90.0,60.0,120.0,7.5,7.0,8.0,0.3,0.1,0.7,-60.0,0.51,84.0,1.07
3165739820296546176,75503736,GALEX J074320.3+160752,control,H+He,80.0,80.0,80.0,7.0,7.0,7.0,0.3,0.3,0.3,40.0,1.49,83.2,0.96
3165739820296546176,75503736,GALEX J074320.3+160752,control,He only,120.0,120.0,120.0,6.5,6.5,6.5,0.5,0.5,0.5,10.0,0.9,83.2,1.44
1573011744729727104,62051762,PG 1204+543,control,H+He,60.0,60.0,60.0,7.0,7.0,7.0,0.3,0.3,0.3,-10.0,1.97,84.9,0.71
1573011744729727104,62051762,PG 1204+543,control,He only,90.0,60.0,120.0,7.0,6.5,7.5,0.3,0.1,0.7,0.0,0.58,84.9,1.06
1027028630113289600,58697654,PG 0834+501,control,H+He,60.0,60.0,60.0,7.0,7.0,7.0,0.1,0.1,0.1,20.0,0.62,90.0,0.67
1027028630113289600,58697654,PG 0834+501,control,He only,90.0,90.0,90.0,6.5,6.5,7.0,0.1,0.1,0.1,-30.0,0.33,90.0,1.0
3833693825659533056,79946016,GALEX J095019.7-010423,control,H+He,60.0,60.0,60.0,6.5,6.5,6.5,0.1,0.1,0.3,30.0,0.77,91.3,0.66
3833693825659533056,79946016,GALEX J095019.7-010423,control,He only,200.0,150.0,200.0,6.5,6.5,6.5,1.0,0.9,1.0,-30.0,0.61,91.3,2.19
1592322123850695168,62153804,PG 1454+494,control,H+He,60.0,60.0,70.0,7.5,7.0,7.5,0.1,0.1,0.1,40.0,0.66,75.3,0.8
1592322123850695168,62153804,PG 1454+494,control,He only,60.0,60.0,200.0,8.0,6.5,8.0,0.1,0.1,1.0,50.0,0.57,75.3,0.8
