gaia_dr3,name,ra_deg,dec_deg,parallax_mas,e_parallax_mas,G,bp_rp,sdss_id,spectrum,snr,B_split_Ha_MG,e_B_split_Ha_MG,B_split_Hb_MG,e_B_split_Hb_MG,Ha_sigma_minus_A,Ha_pi_A,Ha_sigma_plus_A,Ha_shift_A,Ha_asym_A,Hb_sigma_minus_A,Hb_pi_A,Hb_sigma_plus_A,Hb_shift_A,Hb_asym_A,snowwhite_class,simbad_type,mwdd_spectype,note
5660016586818424832,GALEX J095130.1-245723,147.875205,-24.956247,18.198,0.075,17.165,0.272,100495249,coadd,26.3,8.46,0.07,8.19,0.05,6382.3,6558.8,6723.1,-5.8,-12.2,4746.2,4848.1,4927.1,-14.6,-22.9,DAH/DA,WD*/DA,DA,
6499095244738784128,GALEX J231613.4-552927,349.056911,-55.491176,16.003,0.052,16.701,0.199,110869723,coadd,42.0,8.0,0.02,7.83,0.03,6398.0,6556.7,6720.0,-7.9,4.6,4753.3,4847.4,4926.1,-15.3,-15.4,DAH,WD*/DA,DA,common proper motion with HD 219458 at 164 arcsec
1980205739970324224,Gaia DR3 1980205739970324224,329.821928,51.048998,12.637,0.057,17.057,0.148,65378167,coadd,16.4,5.64,0.03,5.57,0.02,6449.5,6561.4,6676.4,-3.2,3.0,4790.7,4854.8,4913.6,-7.9,-5.3,DA,WD*/DA,DA:,"listed as ZZ Ceti (P = 1286 s) in Vincent et al. 2020, AJ 160, 252"
4307667617377160704,Gaia DR3 4307667617377160704,287.097272,9.226177,11.85,0.112,17.895,0.258,87874490,coadd,23.6,8.45,0.03,8.36,0.04,6385.1,6556.8,6725.1,-7.8,-3.4,4742.8,4844.8,4927.4,-17.9,-19.5,DA/DAH,WD*/DA,DA:,
5680077137810906624,GALEX J091732.4-185850,139.384725,-18.980516,11.228,0.096,17.615,0.083,100619073,coadd,12.9,6.18,0.04,6.19,0.04,6439.8,6552.7,6688.7,-11.9,23.1,4783.1,4846.2,4919.8,-16.5,10.5,DAH,WD*/DA,DA:,
4198738558061020928,GALEX J190543.6-114356,286.432103,-11.732315,9.589,0.127,17.858,0.14,86161874,visit MJD 60087,12.2,10.64,0.04,10.52,0.14,6342.7,6556.5,6770.8,-8.1,0.4,4706.7,4838.7,4939.1,-24.0,-31.7,DA/DAH,WD*/DA,DA,
5807585134758743040,Gaia DR3 5807585134758743040,255.507041,-70.75517,8.123,0.091,17.693,-0.242,102093483,visit MJD 60091,15.1,8.77,0.04,8.83,0.06,6382.3,6560.3,6735.4,-4.3,-2.9,4736.0,4844.8,4931.0,-17.8,-22.6,DA,WD*/DA:,DA:,
2883030508640778752,GALEX J060732.0-390139,91.883535,-39.027457,7.157,0.076,17.582,-0.097,72166485,coadd,32.7,8.83,0.05,8.39,0.3,6384.1,6551.1,6739.5,-13.5,21.5,4745.9,4844.7,4931.1,-18.0,-12.3,DAH,WD*/DA:,DA:,
6412133010376770560,GALEX J215736.7-574324,329.403003,-57.723675,6.911,0.176,18.645,0.12,110113191,coadd,8.9,7.96,0.05,7.9,0.05,6400.5,6561.5,6720.8,-3.1,-1.9,4753.1,4848.2,4927.6,-14.5,-15.6,DAH,WD*/DA,DA,
6430762242043644032,GALEX J203016.2-620507,307.567668,-62.085522,6.67,0.185,18.771,0.331,110269652,coadd,18.2,6.96,0.03,6.73,0.03,6420.5,6560.3,6700.8,-4.3,0.8,4771.6,4852.8,4920.1,-9.9,-13.8,DAH/DA,WD*/DA,DA,
