gaia_dr3,separation_arcsec,G,dataset,band,n,bjd_first,bjd_last,frequency_cd,e_frequency_cd,amplitude_uJy,e_amplitude_uJy,harmonic2_uJy,e_harmonic2_uJy,t_max_bjd,e_t_max_min,amplitude_frac,e_amplitude_frac,harmonic2_frac,e_harmonic2_frac,gls_power_at_f,tess_gls_peak_cd,tess_gls_peak_fap
6021870154194477312,0.0,17.917,ATLAS,c,841,2457454.149,2461296.537,13.9297708,6.7e-06,13.36,0.82,1.92,0.81,2458000.06108,1.0,0.0539,0.0033,0.0077,0.0033,,,
6021870154194477312,0.0,17.917,ATLAS,o,2751,2457448.157,2461302.507,13.9297708,6.7e-06,9.89,0.54,0.7,0.54,2458000.06116,0.9,0.0574,0.0032,0.0041,0.0032,,,
6021870158500230656,10.3,16.528,ATLAS,c,845,2457454.149,2461296.537,13.9297708,6.7e-06,1.71,0.98,0.86,0.98,2458000.03044,9.5,,,,,,,
6021870158500230656,10.3,16.528,ATLAS,o,2749,2457448.157,2461302.507,13.9297708,6.7e-06,0.26,1.04,0.52,1.04,2458000.00597,66.3,,,,,,,
6021870154194477696,9.2,18.669,ATLAS,c,851,2457454.149,2461296.537,13.9297708,6.7e-06,2.34,0.62,0.82,0.62,2458000.03286,4.4,,,,,,,
6021870154194477696,9.2,18.669,ATLAS,o,2773,2457448.157,2461302.507,13.9297708,6.7e-06,0.98,0.54,0.66,0.54,2458000.0247,9.1,,,,,,,
6021870158500371840,12.5,16.702,ATLAS,c,847,2457454.149,2461296.537,13.9297708,6.7e-06,2.98,0.99,1.77,0.99,2458000.0277,5.4,,,,,,,
6021870158500371840,12.5,16.702,ATLAS,o,2774,2457447.165,2461302.507,13.9297708,6.7e-06,3.07,0.94,2.05,0.94,2458000.02027,5.1,,,,,,,
6021870154194477312,0.0,17.917,Gaia DR3 epoch photometry,G,29,2456906.465,2457829.131,13.9297708,,,,,,2458000.06158,0.9,0.0688,0.0036,,,0.947,,
6021870154194477312,0.0,17.917,Gaia DR3 epoch photometry,BP,27,2456906.466,2457829.132,13.9297708,,,,,,2458000.06014,5.2,0.0549,0.0173,,,0.336,,
6021870154194477312,0.0,17.917,Gaia DR3 epoch photometry,RP,28,2456906.466,2457829.132,13.9297708,,,,,,2458000.06354,5.7,0.0893,0.0311,,,0.283,,
6021870154194477312,0.0,17.917,"TESS S65 PDCSAP (TIC 1251484163, CROWDSAP 0.011)",TESS,18100,2460068.744,2460094.565,13.9297708,,,,,,2458000.06345,2.4,0.1261,0.0187,,,,13.932,3e-08
