gaia_dr3,name,frequency_cd,e_frequency_cd,period_h,e_period_h,dataset,n,bjd_first,bjd_last,peak_cd,peak_fap,amplitude_frac,e_amplitude_frac,harmonic2_frac,e_harmonic2_frac,t_max_bjd,e_t_max_min
2883364038621038208,GALEX J060343.7-380911,2.2217597,7.5e-06,10.80225,4e-05,ATLAS,4457,2457322.094,2461298.908,2.22174,1.1e-122,0.0502,0.002,0.0142,0.002,2458000.44415,4.1
2883364038621038208,GALEX J060343.7-380911,2.2217597,7.5e-06,10.80225,4e-05,Gaia DR3 epoch photometry G,41,2456961.334,2457875.923,2.22181,1.4e-13,0.0553,0.0032,,,2458000.00172,6.0
2883364038621038208,GALEX J060343.7-380911,2.2217597,7.5e-06,10.80225,4e-05,"TESS S87 PDCSAP (TIC 705345754, CROWDSAP 0.152)",15091,2460665.441,2460689.94,2.222,8.5e-16,0.0698,0.0078,,,2458000.4488,11.6
2883364038621038208,GALEX J060343.7-380911,2.2217597,7.5e-06,10.80225,4e-05,"TESS S98 PDCSAP (TIC 705345754, CROWDSAP 0.085)",28444,2460988.503,2461045.876,2.22,5.8e-31,0.0664,0.0058,,,2458000.443,9.0
178685757799822080,GALEX J043613.3+383720,0.1370207,1.58e-05,175.15604,0.02019,ZTF,214,2458356.892,2460888.992,0.13704,2.1e-14,0.05,0.0044,0.0203,0.0044,2458002.50449,147.2
178685757799822080,GALEX J043613.3+383720,0.1370207,1.58e-05,175.15604,0.02019,Gaia DR3 epoch photometry G,41,2456906.838,2457830.253,0.13683,7e-13,0.0589,0.0045,,,2458001.87249,127.4
6456720612064924928,GALEX J211204.8-571801,23.4779618,2.26e-05,1.02224,0.0,ATLAS,1899,2459644.879,2461306.699,23.47792,1.2e-26,0.0348,0.0029,0.0037,0.0028,2458000.01504,0.8
6456720612064924928,GALEX J211204.8-571801,23.4779618,2.26e-05,1.02224,0.0,Gaia DR3 epoch photometry G,44,2456908.685,2457896.616,23.47795,3.1e-14,0.0483,0.0022,,,2458000.01472,0.4
2888030331609338240,GALEX J054140.8-362248,1.4676438,1.19e-05,16.35274,0.00013,ATLAS,5225,2457322.039,2461302.869,1.46764,2.6e-50,0.0241,0.0015,0.0107,0.0015,2458000.38479,9.5
2888030331609338240,GALEX J054140.8-362248,1.4676438,1.19e-05,16.35274,0.00013,Gaia DR3 epoch photometry G,46,2456921.704,2457874.674,1.46769,1.8e-06,0.0288,0.0028,,,2458000.32715,15.4
2888030331609338240,GALEX J054140.8-362248,1.4676438,1.19e-05,16.35274,0.00013,"TESS S98 PDCSAP (TIC 705508671, CROWDSAP 0.202)",28783,2460988.503,2461045.876,1.468,1.9e-10,0.0378,0.0049,,,2458000.37305,20.4
3496637913394359680,GALEX J124819.8-261413,0.1699051,7e-06,141.25536,0.00586,ATLAS,3957,2457381.136,2461283.224,0.16988,2.4e-100,0.0446,0.002,0.0055,0.002,2458003.50264,59.8
3496637913394359680,GALEX J124819.8-261413,0.1699051,7e-06,141.25536,0.00586,Gaia DR3 epoch photometry G,32,2456895.042,2457901.18,0.16986,4.7e-12,0.0457,0.0028,,,2458003.23412,81.9
437628614520520320,WDJ025503.24+475833.96,0.1983373,1.08e-05,121.00599,0.00657,ZTF,367,2458288.964,2460843.985,0.19834,7.4e-46,0.0455,0.0024,0.0117,0.0024,2458003.18721,60.5
437628614520520320,WDJ025503.24+475833.96,0.1983373,1.08e-05,121.00599,0.00657,Gaia DR3 epoch photometry G,32,2456901.836,2457830.266,0.19845,1.8e-10,0.0421,0.0023,,,2458003.34405,64.2
