gaia_dr3,tic,sector,cadence_s,freq_cd,period_s,amp_ppt,snr,fap_baluev,crowdsap,pixel_freq_cd,pixel_chi2_target,pixel_chi2_best_other,pixel_best_other,pixel_best_other_G,pixel_best_other_sep_arcsec
2908195134345338496,706387351,98,120,124.845,692.1,20.7,5.2,9.5e-05,0.182,124.838,56.6,78.1,2908195134345339264,16.81,28.9
4729763229265811328,650649424,96,20,142.778,605.1,24.8,5.0,0.00087,0.045,,,,,,
4729763229265811328,650649424,96,120,88.945,971.4,25.0,5.1,6.4e-05,0.045,88.945,29.6,38.5,4729763229265811456,15.26,9.2
6472153670805656832,201745945,13,120,105.712,817.3,12.1,6.0,3e-07,0.122,105.712,40.7,52.4,6472153666509060992,18.39,19.2
6472153670805656832,201745945,27,120,89.644,963.8,7.8,4.0,0.16,0.116,,,,,,
6472153670805656832,201745945,67,20,145.95,592.0,8.0,3.8,0.89,0.107,,,,,,
6472153670805656832,201745945,67,120,145.943,592.0,8.2,4.0,0.12,0.107,,,,,,
6472153670805656832,201745945,94,120,93.699,922.1,7.8,4.2,0.029,0.189,,,,,,
6472153670805656832,201745945,101,20,98.342,878.6,8.2,4.2,0.19,0.127,,,,,,
6472153670805656832,201745945,101,120,98.348,878.5,8.6,4.4,0.029,0.127,,,,,,
6472153670805656832,201745945,104,20,117.386,736.0,6.6,4.4,0.052,0.238,,,,,,
6472153670805656832,201745945,104,120,92.648,932.6,6.1,4.0,0.14,0.238,,,,,,
6472153670805656832,201745945,105,20,91.83,940.9,9.4,5.0,0.0012,0.112,91.828,37.8,50.0,6472153666509060992,18.39,20.3
6472153670805656832,201745945,105,120,91.879,940.4,8.6,4.3,0.025,0.11,,,,,,
6492083311194727168,2055170284,95,20,507.086,170.4,11.7,4.0,0.57,0.205,,,,,,
6492083311194727168,2055170284,95,120,264.544,326.6,10.9,3.7,0.44,0.205,,,,,,
6492083311194727168,2055170284,102,120,82.339,1049.3,21.2,9.7,1.5e-27,0.238,82.34,25.3,92.9,6492083349850498176,14.52,33.4
6492083311194727168,2055170284,103,120,98.0,881.6,19.8,8.0,2.1e-17,0.223,98.004,46.0,119.0,6492083349850498176,14.52,35.5
6492083311194727168,2055170284,104,120,97.92,882.4,15.3,6.8,4.7e-11,0.206,,,,,,
6492083311194727168,2055170284,105,120,86.457,999.3,9.2,4.1,0.063,0.227,,,,,,
6558472750993181568,2027206794,27,120,80.969,1067.1,14.3,3.9,0.22,0.555,,,,,,
6558472750993181568,2027206794,28,120,182.849,472.5,11.2,4.1,0.082,0.633,,,,,,
6558472750993181568,2027206794,68,20,182.763,472.7,13.9,5.1,0.00046,0.584,,,,,,
6558472750993181568,2027206794,68,120,182.762,472.7,13.7,5.0,0.00015,0.584,,,,,,
6558472750993181568,2027206794,95,20,182.803,472.6,14.8,4.9,0.0023,0.646,,,,,,
6558472750993181568,2027206794,95,120,182.798,472.7,11.6,3.8,0.32,0.646,,,,,,
6558472750993181568,2027206794,102,20,91.187,947.5,18.9,5.2,0.00011,0.711,,,,,,
6558472750993181568,2027206794,102,120,91.188,947.5,19.0,5.2,3.3e-05,0.711,91.188,37.4,95.7,6558473060230827776,17.88,35.6
6558472750993181568,2027206794,104,20,182.827,472.6,27.0,4.3,0.1,0.475,,,,,,
6558472750993181568,2027206794,104,120,320.82,269.3,24.8,4.0,0.16,0.475,,,,,,
6558472750993181568,2027206794,105,20,182.823,472.6,16.5,5.0,0.00071,0.527,,,,,,
6558472750993181568,2027206794,105,120,182.821,472.6,16.5,5.1,4.1e-05,0.526,182.821,64.1,123.1,6558473060230827776,17.88,36.2
